Months,<1.0,1.0-5.0,5.0-12.0,12.0-19.0,19.0-28.0,28.0-38.0,38.0-50.0,50.0-61.0,61.0>
Jan,0.2587892539989355,4.878785332100737,15.647486716904314,5.641258369050621,3.329234015930377,1.020104397194909,0.21189455696557136,0.012157884416057372,0.00028947343847755645
Feb,0.1429719365699348,3.425060775278956,14.696204977978496,5.530621586158494,3.015796486731155,1.0215942957696338,0.162338653077416,0.005411288435913867,0.0
Mar,0.13266166654704659,3.523182372784038,15.82261537357353,7.111444053685495,3.258415273092658,1.0204101772769685,0.11653089786837006,0.013627718366468098,0.0011124668054259671
Apr,0.12959323667915013,3.3238162334532237,17.400533946382883,6.954095442915941,1.9336089584337572,0.24611591086061774,0.012236271274426194,0.0,0.0
May,0.12021112347851065,3.5248016229219776,18.523087142292916,6.885147750529604,1.777288068651036,0.16389896233528417,0.003617464363936663,0.0,0.0019478654267351262
Jun,0.1428861258441295,4.121960409239776,18.62069964930586,5.882097208938353,1.1517839028490278,0.07274729733646348,0.007245746746659711,0.0002898298698663884,0.0002898298698663884
Jul,0.18417156319548555,4.042536945124733,18.866038421067334,6.379321904478113,1.4136177820819638,0.10998333162614421,0.00404138226447774,0.0,0.00028867016174841
Aug,0.21069141288720428,5.034309240622141,19.654788356330638,5.126052616838135,0.8812573519801333,0.08421868289859402,0.008682338443154023,0.0,0.0
Sep,0.2916590160132203,5.525865651304154,18.21941107685766,4.699595079099703,1.0724122268716718,0.18061984788890284,0.010437101964687804,0.0,0.0
Oct,0.363926823924633,5.5203114730154095,19.09597056890382,4.456264149565471,1.3139286496750164,0.20347075147885782,0.04499561819907982,0.0011319652377126998,0.0
Nov,0.26145981731333273,5.432553981954803,17.44825274449007,4.580016201569876,1.7131763457079807,0.48520908405262714,0.07877315008799128,0.0005586748233190872,0.0
Dec,0.47117301414581064,5.118676822633296,15.967799782372145,5.881566920565833,2.66539281828074,0.7947334058759521,0.09849836779107726,0.0021588683351468985,0.0
