Months,Mean,Max
Jan,3.5645623286542523,5.003801940223182
Feb,3.5800965885737774,4.892797304561008
Mar,3.7319897038328853,5.315589981747187
Apr,3.158871808436153,4.653217810205322
May,2.9961661579138905,4.457151579742002
Jun,2.685966063348416,4.1050468041375305
Jul,2.7431152126544673,4.0848317960153615
Aug,2.4728795628160136,3.7009541083540825
Sep,2.5173753167294977,3.6540704248102087
Oct,2.6158537557715587,3.7398731061029924
Nov,2.9871974801341508,4.175125276972899
Dec,3.3747991217771816,4.809715325860301
