Months,<2.5,2.5-5.0,5.0-7.5,7.5-10.0,10.0-12.5,12.5-15.0,15.0-17.5,17.5>
Jan,15.805427587007859,10.141516007897488,3.6333281715767876,1.1113003755177888,0.25622314273547286,0.04950447137160776,0.002700243892996787,0.0
Feb,13.24642370032036,10.097715185925292,3.2970258297120987,1.0956534610545459,0.2397944618898087,0.021907148370180058,0.0014802127277148687,0.0
Mar,13.536889336654259,12.487448576945681,3.6630658868086456,1.100047575070663,0.18738980774074385,0.018507635332419146,0.006072817843450032,0.0005783636041380983
Apr,14.217204882571075,13.12847651421508,2.340563195302843,0.2865227132262052,0.02694298516687268,0.00028970951792336216,0.0,0.0
May,15.19446572373461,13.410782683432672,2.173203041796678,0.21286037256404028,0.006371330879467873,0.0002896059490667215,0.0,0.0020272416434670504
Jun,16.180640503739948,12.288286843002385,1.4275974091082277,0.09054083863075782,0.011430404876972748,0.0012032005133655525,0.0,0.00030080012834138813
Jul,16.35147034632244,12.75930638746698,1.7428369604133807,0.13858703540636522,0.007199326514616375,0.0002999719381090156,0.0,0.0002999719381090156
Aug,18.65354048343639,11.116410475101281,1.1131733509081394,0.1045571730407645,0.011717614220085677,0.000600903293337727,0.0,0.0
Sep,18.522364935778903,9.97411164975761,1.27802488880004,0.20390824129141888,0.021590284372032583,0.0,0.0,0.0
Oct,19.424655074655075,9.734152334152334,1.5467775467775469,0.22908712908712908,0.05771120771120771,0.007030807030807031,0.000585900585900586,0.0
Nov,18.00642063859324,9.42561314206386,1.9206964368347987,0.5197246645071726,0.11944701527070802,0.008098102730217492,0.0,0.0
Dec,16.21125009011607,10.77826039939442,2.9863564270780767,0.8604282315622521,0.1511336601542787,0.012291831879460745,0.00027935981544228967,0.0
